personnelID,firstName,lastName,dateOfBirth,enlistmentDate,status,rankID,unitID
283,Sean,Delacruz,2000-07-16,2019-06-12,Retired,2,217
284,Justin,Combs,1984-12-16,2020-06-15,Retired,4,210
285,Zachary,Rivera,1992-06-27,2024-10-03,Reserve,1,214
286,Rachel,Haney,1998-01-09,2012-02-19,Active,5,203
287,Logan,Edwards,1995-12-07,2012-06-08,Retired,7,214
288,Andre,Mckenzie,2003-07-16,2016-05-13,Reserve,7,219
289,Tyler,Ingram,1988-04-17,2012-09-30,Reserve,10,220
290,Jeffrey,Schneider,2004-04-12,2022-01-23,Retired,3,209
291,Yolanda,Mckee,1993-04-14,2021-02-03,Retired,2,201
292,Michelle,Adkins,1981-03-05,2025-01-26,Reserve,3,220
293,Laura,Green,1987-06-18,2018-12-25,Reserve,7,211
294,Melissa,Payne,2003-08-28,2019-09-01,Active,6,215
295,Dalton,Evans,1989-02-19,2012-12-05,Active,3,220
296,Billy,Payne,1987-10-30,2022-10-09,Reserve,3,218
297,Robert,Smith,2003-01-27,2025-03-10,Retired,6,219
298,Seth,Flores,1990-03-30,2019-01-23,Reserve,7,204
299,Andre,Hopkins,2003-08-24,2015-07-23,Retired,2,215
300,Michael,Beard,2003-11-10,2025-03-17,Active,9,212
301,Jonathon,Anderson,1985-07-04,2017-04-20,Active,2,220
302,Robert,Parks,1981-12-11,2013-01-06,Active,7,212
303,John,Robertson,2004-12-20,2017-02-12,Retired,8,216
304,James,Torres,1987-03-24,2021-01-17,Active,8,211
305,Richard,Gregory,1982-01-09,2016-12-14,Reserve,4,216
306,Charles,Mcguire,1993-09-17,2016-08-21,Active,3,207
307,Frank,Anderson,1982-04-21,2019-11-30,Reserve,9,207
308,Christian,Campbell,1989-07-20,2013-07-23,Reserve,8,203
309,Brandon,Adams,1995-09-10,2016-10-13,Active,2,212
310,Dale,Russell,1993-07-25,2019-09-05,Reserve,10,219
311,Jeff,Parks,1990-05-20,2019-08-26,Reserve,2,214
312,John,Dodson,2001-05-16,2021-07-26,Retired,3,220
313,Wanda,Ramirez,1987-04-22,2013-08-12,Retired,5,219
314,Ann,Martin,1986-09-24,2018-06-09,Active,10,216
315,Amanda,Schmidt,1987-04-12,2015-01-17,Active,9,209
316,Brandon,Ross,1989-10-15,2012-01-15,Active,8,214
317,Debra,Palmer,1993-11-25,2020-04-25,Active,10,209
318,Crystal,Lee,1981-10-18,2020-03-04,Retired,2,219
319,Tina,Kennedy,2002-02-11,2015-04-28,Active,10,219
320,Phillip,Haynes,1983-12-28,2020-03-18,Retired,9,204
321,Kristi,White,1982-05-29,2020-12-13,Reserve,10,220
322,Ray,Pratt,1993-11-13,2021-12-17,Reserve,8,212
323,Casey,Brown,1979-10-06,2023-10-31,Retired,9,217
324,Christopher,Burton,1981-05-02,2019-04-08,Reserve,8,216
325,Greg,Gomez,2003-03-17,2011-02-17,Active,7,207
326,Jose,Smith,1986-05-09,2010-07-12,Retired,4,214
327,Katelyn,Jensen,1986-03-29,2014-01-06,Retired,1,205
328,Lauren,Garner,1986-06-05,2013-06-09,Active,6,202
329,Joshua,Lane,1984-03-17,2018-11-27,Active,1,210
330,Selena,Chang,1993-04-09,2011-03-24,Active,5,210
331,Alfred,Ross,2000-02-19,2012-04-03,Reserve,4,210
332,Theresa,Hicks,1998-10-18,2017-01-27,Reserve,2,219
333,Amanda,Watkins,2002-04-21,2021-04-07,Reserve,8,203
334,Jennifer,Reid,1991-09-01,2025-02-07,Reserve,10,211
335,William,Allen,1992-06-11,2019-08-28,Retired,4,207
336,Marie,Lang,2003-07-10,2014-03-23,Retired,9,206
337,Christian,Quinn,1998-05-03,2021-01-04,Retired,5,210
338,Matthew,Johnson,1990-03-08,2013-01-09,Retired,5,211
339,Sheila,Anderson,2005-02-03,2020-09-08,Reserve,10,204
340,James,Martin,1981-06-01,2018-11-10,Active,8,220
341,Sandra,Joseph,1989-09-16,2016-08-07,Reserve,3,218
342,Michael,Mcclure,1993-03-03,2017-08-26,Active,1,209
343,John,Thompson,1987-11-01,2018-08-16,Active,2,209
344,Christopher,Ewing,1999-05-20,2014-05-28,Retired,5,205
345,Matthew,Ward,1992-09-09,2024-11-30,Reserve,3,214
346,Gerald,Mccarthy,2003-08-07,2014-09-11,Reserve,8,207
347,Ashley,Winters,1998-12-14,2017-03-26,Reserve,9,214
348,Erik,Johnson,1982-09-02,2015-03-15,Retired,7,206
349,Sherry,Ayala,2000-12-01,2018-02-10,Active,2,213
350,Phillip,Steele,2005-03-03,2020-10-25,Active,10,209
351,Morgan,Anderson,2005-01-28,2021-10-26,Retired,9,217
352,Darlene,Torres,1986-02-14,2020-08-03,Reserve,4,208
353,Dustin,Johns,2001-04-30,2010-09-26,Active,10,216
354,Pedro,Newton,1987-10-13,2024-09-27,Active,6,205
355,Carmen,Harvey,1985-09-21,2011-06-07,Retired,6,210
356,Isabel,Dunn,2001-09-11,2011-05-04,Retired,10,214
357,Brian,Wood,2005-01-16,2021-09-20,Reserve,2,219
358,Kimberly,Smith,1994-05-19,2025-02-04,Retired,3,211
359,Rebecca,Brown,1997-09-26,2015-06-01,Reserve,10,201
360,Erika,Chase,1990-09-26,2023-11-15,Reserve,4,208
361,Christopher,Bryant,2000-05-02,2022-12-29,Retired,4,212
362,Taylor,Perry,1991-09-18,2019-11-15,Reserve,4,220
363,Tara,Williams,1982-06-28,2018-02-09,Active,6,204
364,Hunter,Roy,1982-09-29,2011-09-26,Reserve,10,205
365,Andrea,Stevens,1987-09-06,2021-03-16,Active,1,208
366,Rachel,Murphy,1980-02-22,2019-05-30,Retired,4,202
367,Matthew,Brewer,1989-01-01,2017-04-19,Reserve,2,213
368,Jennifer,Hancock,2001-09-09,2013-09-07,Reserve,6,201
369,Robin,Richards,1987-08-13,2016-01-23,Reserve,4,201
370,Michael,Jackson,1998-03-12,2018-10-17,Active,7,213
371,Gary,Mendoza,1989-08-23,2024-02-22,Active,6,208
372,Evan,Fry,1981-11-05,2023-11-26,Retired,2,219
373,Zachary,Edwards,1984-10-20,2015-09-07,Active,1,211
374,Maria,Mercer,1992-05-28,2020-07-06,Reserve,8,212
375,Melissa,Allen,2003-02-15,2013-08-26,Retired,1,209
376,Monica,Hamilton,1983-12-19,2019-07-04,Reserve,3,212
377,Sean,Drake,1994-11-11,2021-11-08,Active,7,207
378,Steven,Madden,1987-04-16,2015-01-23,Active,4,204
379,Jake,Mcgee,2003-04-21,2024-10-04,Reserve,7,204
380,Susan,Ewing,1992-12-12,2025-04-19,Reserve,5,203
381,Diana,Holland,1988-08-24,2023-08-21,Active,7,208
382,Matthew,Patel,2002-02-09,2024-05-14,Retired,3,217
383,Michael,Bradley,1982-12-28,2019-03-11,Retired,2,204
384,Joshua,Gallagher,2003-04-09,2021-07-22,Reserve,1,214
385,Chelsea,Lucas,1990-10-09,2013-01-01,Reserve,7,210
386,Alyssa,Spencer,2001-05-02,2011-06-07,Reserve,2,215
387,Todd,Hall,2000-11-28,2012-11-08,Active,2,201
388,Amanda,Peterson,1982-10-12,2016-08-01,Retired,5,217
389,Daniel,Mcintyre,1998-08-10,2015-10-14,Reserve,8,206
390,Catherine,Baker,1992-02-16,2011-11-08,Retired,1,218
391,Luis,Anderson,1988-08-03,2018-07-06,Active,9,206
392,Brianna,Young,1982-03-28,2012-01-26,Reserve,3,202
393,Elizabeth,Brown,2003-07-25,2024-02-11,Retired,9,213
394,Jessica,Perry,1992-04-23,2014-10-03,Retired,3,212
395,James,Phillips,1984-07-08,2021-06-05,Active,1,206
396,Nathan,Perez,1988-09-09,2023-03-28,Active,9,220
397,Miguel,Norman,2000-10-08,2022-08-22,Reserve,4,206
398,Cory,Matthews,1996-07-10,2020-01-02,Retired,8,218
399,Daniel,Fisher,1981-11-13,2011-02-02,Active,6,207
400,Mark,Miller,1993-07-06,2020-01-21,Retired,10,217
401,Pamela,Hines,1987-02-16,2025-05-13,Active,7,213
402,Brian,Burke,1990-12-24,2011-12-15,Reserve,10,217
403,Stacy,Krause,1985-05-02,2019-03-10,Retired,8,210
404,Richard,Rodriguez,1998-10-17,2024-01-04,Active,9,202
405,Kimberly,Olson,2003-08-08,2024-04-17,Retired,6,212
406,Christopher,Nicholson,1982-03-23,2017-01-12,Reserve,8,217
407,Michelle,King,1988-07-09,2021-12-25,Reserve,6,215
408,Peter,Baker,1996-04-29,2023-12-23,Retired,3,216
409,Jennifer,Williams,1987-10-25,2013-04-21,Reserve,3,219
410,George,Brown,1998-09-16,2011-12-25,Retired,6,204
411,Traci,Riley,1980-11-07,2017-08-17,Reserve,5,208
412,Joshua,Weaver,1991-06-10,2021-04-05,Active,2,209
413,Deanna,Cook,1989-04-07,2012-12-12,Reserve,3,219
414,Zachary,Hurley,1999-04-20,2024-11-16,Retired,8,201
415,Joy,Reyes,1995-07-12,2013-03-01,Active,4,220
416,Melissa,Matthews,1991-07-24,2017-07-16,Retired,3,205
417,Tina,King,1999-11-27,2018-02-11,Reserve,9,202
418,Gina,Fox,1980-07-02,2013-12-15,Retired,1,203
419,Gregory,Benitez,1985-09-19,2023-02-24,Active,1,215
420,David,Brown,2004-09-16,2019-08-05,Retired,10,202
421,Scott,Nichols,1989-11-20,2020-12-13,Reserve,3,217
422,Michael,Ramirez,1993-01-18,2013-04-01,Reserve,1,220
423,Natalie,Jacobs,1997-10-29,2019-02-28,Active,5,214
424,Jordan,Marshall,1986-11-05,2024-02-10,Retired,7,210
425,Tyler,Chapman,1982-02-16,2022-05-08,Active,8,210
426,Philip,Hill,1985-04-10,2014-05-03,Active,10,218
427,Ana,Gregory,1989-04-11,2016-08-10,Active,6,220
428,Kristi,Davis,2003-10-18,2013-02-24,Reserve,6,215
429,Craig,Gonzalez,1996-10-21,2014-11-17,Retired,7,205
430,Susan,Adams,2002-10-14,2022-11-17,Reserve,4,216
431,John,Johnston,2000-08-22,2018-12-07,Reserve,4,207
432,Kelly,Baldwin,1981-10-11,2019-09-16,Retired,7,209
433,Susan,Kemp,1990-04-24,2017-03-01,Reserve,2,212
434,Erica,Robinson,1988-10-11,2023-11-28,Active,1,202
435,Chloe,Reid,1989-06-14,2025-03-27,Reserve,9,207
436,Jennifer,Stanley,1983-12-30,2010-10-07,Active,6,220
437,Bradley,Murphy,1992-04-05,2016-02-28,Retired,7,212
438,Tara,White,1989-11-25,2014-07-07,Active,3,205
439,Michelle,Collins,1991-12-19,2022-03-25,Reserve,10,208
440,Joseph,Wilson,1983-03-07,2023-08-19,Retired,8,220
441,Mary,Ewing,1994-12-09,2024-02-24,Reserve,9,201
442,Crystal,Davis,1981-03-16,2012-06-22,Reserve,5,213
443,Diana,Jackson,1982-07-19,2013-06-08,Active,1,215
444,Krystal,Brown,2002-11-17,2015-06-13,Active,4,206
445,James,Gomez,1992-01-25,2014-08-29,Active,7,209
446,John,Lynch,1981-04-01,2010-11-30,Reserve,8,218
447,Barry,Miller,1999-07-09,2024-01-09,Retired,8,217
448,Jeremy,Adams,2000-02-29,2019-08-11,Reserve,8,204
449,Clinton,Evans,2002-01-31,2022-12-31,Retired,4,216
450,Lawrence,White,1997-12-03,2015-05-06,Active,8,218
451,Hannah,Le,2001-03-29,2011-09-19,Retired,3,204
452,Kelsey,Lester,1988-06-22,2021-04-23,Active,2,218
453,Tina,Harrington,2002-07-07,2023-02-01,Reserve,9,210
454,Michelle,Martinez,1991-03-07,2016-12-08,Reserve,6,218
455,Justin,Ramirez,1990-03-06,2014-05-31,Active,3,215
456,Nathaniel,Dalton,1997-12-08,2013-07-26,Active,7,217
457,Kyle,Bryant,2004-10-11,2012-04-17,Retired,7,210
458,Frederick,Reynolds,1993-12-11,2019-01-21,Reserve,6,216
459,Lisa,Douglas,1987-03-13,2014-05-15,Active,1,212
460,Colin,Flores,1985-01-10,2014-06-07,Retired,2,202
461,Tyler,Lee,1980-10-07,2017-04-05,Active,10,210
462,Julie,Woodward,1980-07-31,2012-12-11,Active,6,203
463,Michael,Wood,2003-12-06,2010-10-13,Reserve,3,210
464,Jose,Walker,2005-05-09,2016-09-27,Retired,10,204
465,James,Cox,1980-07-07,2025-05-16,Retired,1,218
466,Jaclyn,Spencer,1995-09-26,2015-11-25,Reserve,1,210
467,Russell,Fuller,1998-03-25,2016-07-04,Retired,4,215
468,Andrew,Nelson,1982-12-24,2022-12-01,Active,10,205
469,Daniel,Estes,2000-07-07,2016-12-28,Active,10,205
470,Christine,Tran,1984-01-30,2021-07-02,Retired,1,207
471,Barbara,Randolph,2002-10-08,2021-11-02,Retired,4,202
472,Amanda,Blair,1981-03-29,2014-06-28,Active,8,207
473,Daniel,Obrien,1979-11-12,2022-02-15,Active,2,205
474,Wendy,Smith,1985-05-22,2023-08-15,Retired,6,207
475,Jacqueline,Chase,2002-01-30,2016-04-04,Retired,4,208
476,Randall,Mccoy,1986-10-09,2022-06-24,Active,1,203
477,Ryan,Mcgee,2000-12-17,2012-06-09,Retired,1,215
478,Hunter,Thomas,1995-01-27,2011-11-10,Reserve,1,220
479,Nathan,Phillips,1987-04-05,2022-12-16,Reserve,1,211
480,Kevin,Jordan,2002-01-07,2016-09-27,Active,10,207
481,Justin,Chen,1985-11-13,2015-08-21,Reserve,6,208
482,Emily,Hurley,1982-08-08,2021-10-18,Reserve,6,203
483,Sara,King,1981-05-23,2019-05-25,Reserve,10,206
484,William,Jensen,1989-10-11,2014-07-22,Reserve,4,217
485,Bonnie,Espinoza,2001-01-25,2016-12-20,Active,4,209
486,Daniel,Hansen,1997-04-03,2011-04-24,Active,3,215
487,Jennifer,Juarez,1983-05-13,2018-10-13,Retired,8,220
488,Stacy,Johnson,1988-07-29,2018-10-02,Active,9,215
489,Brittany,Strickland,2000-03-27,2021-11-16,Active,6,205
490,Karen,Foster,2000-07-12,2012-11-22,Active,2,211
491,Kristin,Martinez,1998-12-06,2013-12-20,Active,8,212
492,Joel,Andrews,1997-12-11,2019-06-20,Reserve,8,210
493,Nicholas,Harris,2002-04-13,2025-01-05,Active,6,218
494,Debra,Hall,1983-08-01,2014-01-05,Reserve,8,219
495,James,Proctor,2001-09-06,2017-10-08,Reserve,1,209
496,Miranda,Rivera,2001-05-09,2014-01-08,Retired,7,205
497,John,Shelton,1997-06-02,2016-03-19,Reserve,10,208
498,Eric,Lee,1984-03-16,2013-04-16,Retired,10,217
499,Howard,Rivera,1988-10-14,2023-01-19,Retired,3,203
500,Katrina,Powell,1998-02-20,2013-04-09,Retired,2,214
501,Nicole,Young,1985-11-01,2017-11-16,Active,2,217
502,Randall,Daniels,1981-12-17,2023-10-13,Reserve,5,215
503,Norma,Diaz,1995-01-06,2015-11-15,Reserve,2,205
504,Ashley,Gregory,1981-01-28,2012-09-21,Retired,9,204
505,William,Ryan,1979-12-08,2022-10-08,Retired,3,207
506,Ryan,Cochran,2001-08-18,2023-07-19,Reserve,1,211
507,Patricia,Mccarthy,1995-11-06,2022-08-13,Active,9,208
508,Heather,Jackson,1981-04-20,2022-08-01,Retired,8,205
509,Bryan,Butler,1980-12-31,2015-07-20,Retired,9,202
510,Samuel,Hunt,1990-09-11,2013-04-08,Active,9,218
511,Donald,Maxwell,2000-09-25,2012-06-30,Reserve,5,220
512,Michael,Ellis,1986-03-29,2012-09-10,Reserve,10,212
513,Donald,Riley,1993-05-06,2021-10-07,Reserve,1,205
514,Melissa,Garcia,1992-12-23,2020-08-20,Retired,2,207
515,Janet,Walker,2001-06-13,2024-12-27,Retired,10,202
516,Jennifer,Cox,1995-10-21,2023-02-21,Reserve,8,209
517,Rebecca,Hudson,1981-09-12,2021-05-20,Retired,1,206
518,David,Johnson,1980-05-27,2014-05-14,Active,6,216
519,Jonathan,Gentry,1993-08-10,2010-08-24,Reserve,2,211
